id,Geographic Area Name,County,Total Households,With dial-up Internet subscription alone,With a broadband Internet subscription,Without an Internet subscription,With dial-up Internet subscription alone PERCENT,With a broadband Internet subscription PERCENT,Without an Internet subscription PERCENT,Better than US average - With dial-up Internet subscription alone,Better than US average - With a broadband Internet subscription,Better than US average - Without an Internet subscription,GEOID
1400000US35001003100,"Census Tract 31, Bernalillo County, New Mexico","Bernalillo County, New Mexico",956.991,5.938358999999999,765.8101079999999,185.62282199999999,0.006205240174672488,0.8002270742358077,0.1939650655021834,0.551310043668122,-0.03237354989624223,-0.1409709735422552,35001003100
1400000US35001000127,"Census Tract 1.27, Bernalillo County, New Mexico","Bernalillo County, New Mexico",1107.5399999999997,6.870419999999999,886.8419999999999,214.26876,0.006203315455875184,0.8007313505607022,0.19346367625548516,0.5508288639687959,-0.03176378408621264,-0.1380216250322656,35001000127
1400000US35001001300,"Census Tract 13, Bernalillo County, New Mexico","Bernalillo County, New Mexico",2077.191,12.885199,1663.3432280000002,401.79014200000006,0.00620318449290412,0.800765662859121,0.19342956040152307,0.55079612322603,-0.03172229400348135,-0.13782094353837088,35001001300
1400000US35001003736,"Census Tract 37.36, Bernalillo County, New Mexico","Bernalillo County, New Mexico",1286.208,7.975638,1030.7234520000002,248.02281900000003,0.006200892857142857,0.8013660714285715,0.19283258928571428,0.5502232142857142,-0.03099628605976849,-0.1343093487394957,35001003736
1400000US35001004604,"Census Tract 46.04, Bernalillo County, New Mexico","Bernalillo County, New Mexico",1835.0985,11.3779485,1470.9264540000001,353.52796800000004,0.006200184077312472,0.8015517717441326,0.19264795213989877,0.5500460193281179,-0.03077173912438628,-0.13322324788175738,35001004604
1400000US35001000208,"Census Tract 2.08, Bernalillo County, New Mexico","Bernalillo County, New Mexico",1569.4740000000002,9.728862,1258.5820800000001,301.791786,0.0061988041853512695,0.8019133034379671,0.19228849028400596,0.5497010463378174,-0.030334578672349448,-0.1311087663765056,35001000208
1400000US35001004729,"Census Tract 47.29, Bernalillo County, New Mexico","Bernalillo County, New Mexico",1792.8,11.110176,1438.466688,343.942848,0.006197108433734939,0.8023575903614458,0.19184674698795182,0.5492771084337348,-0.029797351437187713,-0.1285102763997165,35001004729
1400000US35001000115,"Census Tract 1.15, Bernalillo County, New Mexico","Bernalillo County, New Mexico",1857.307,11.507133,1490.9579360000002,355.588939,0.006195600942655145,0.802752553024352,0.19145404556166534,0.5489002356637862,-0.029319766596914227,-0.12620026800979606,35001000115
1400000US35001003717,"Census Tract 37.17, Bernalillo County, New Mexico","Bernalillo County, New Mexico",2385.76,14.775136,1916.7681280000002,455.17932800000005,0.006193052109181141,0.8034203473945409,0.19079007444168736,0.5482630272952852,-0.028512276427399192,-0.12229455553933731,35001003717
1400000US35001004402,"Census Tract 44.02, Bernalillo County, New Mexico","Bernalillo County, New Mexico",1568.0085000000004,9.710752500000002,1259.7714660000001,299.15893500000004,0.006193048379520901,0.8034213245655236,0.1907891028651949,0.5482620948802253,-0.028511094842172246,-0.12228884038349935,35001004402
1400000US35001000601,"Census Tract 6.01, Bernalillo County, New Mexico","Bernalillo County, New Mexico",1979.15,12.256962,1590.093856,377.597726,0.006193043478260869,0.8034226086956521,0.19078782608695652,0.5482608695652172,-0.028509542085064076,-0.12228132992327356,35001000601
1400000US35001000129,"Census Tract 1.29, Bernalillo County, New Mexico","Bernalillo County, New Mexico",2522.5,15.611248,2029.438024,478.47385399999996,0.0061887999999999995,0.8045344,0.18968239999999997,0.5471999999999998,-0.027165175332527308,-0.11577882352941153,35001000129
1400000US35001002900,"Census Tract 29, Bernalillo County, New Mexico","Bernalillo County, New Mexico",1794.6360000000002,11.106072,1443.996072,340.262046,0.006188481675392669,0.8046178010471203,0.18959947643979055,0.5471204188481672,-0.027064327633470057,-0.11529103788112083,35001002900
1400000US35001001800,"Census Tract 18, Bernalillo County, New Mexico","Bernalillo County, New Mexico",512.356,3.170328,412.34972000000005,97.044034,0.0061877444589309,0.8048109517601044,0.18940743155149933,0.5469361147327249,-0.02683077175319909,-0.11416136206764306,35001001800
1400000US35001003600,"Census Tract 36, Bernalillo County, New Mexico","Bernalillo County, New Mexico",3198.4570000000003,19.782838999999996,2576.352864,603.6244770000001,0.006185119574844994,0.805498671390611,0.18872364924712134,0.5462798937112484,-0.025999188161292652,-0.11013911321836077,35001003600
1400000US35001000904,"Census Tract 9.04, Bernalillo County, New Mexico","Bernalillo County, New Mexico",2459.322,15.210234,1981.2338639999998,463.880412,0.006184726522187822,0.8056016511867904,0.18862125902992774,0.5461816305469556,-0.025874666037738425,-0.10953681782310427,35001000904
1400000US35001000501,"Census Tract 5.01, Bernalillo County, New Mexico","Bernalillo County, New Mexico",1882.5280000000002,11.642624,1516.6454400000002,355.00747200000006,0.006184568835098335,0.8056429652042361,0.1885801815431165,0.5461422087745836,-0.025824709547477637,-0.10929518554774409,35001000501
1400000US35001004501,"Census Tract 45.01, Bernalillo County, New Mexico","Bernalillo County, New Mexico",1675.6,10.361455999999999,1350.304128,315.618288,0.006183728813559322,0.8058630508474577,0.1883613559322034,0.5459322033898304,-0.025558584223146774,-0.10800797607178467,35001004501
1400000US35043940700,"Census Tract 9407, Sandoval County, New Mexico","Sandoval County, New Mexico",942.1500000000001,10.19865,754.2975000000001,177.42615,0.010824868651488616,0.8006129597197899,0.18832049036777582,1.706217162872154,-0.03190694108852505,-0.1077675903986812,35043940700
1400000US35001000708,"Census Tract 7.08, Bernalillo County, New Mexico","Bernalillo County, New Mexico",3756.2400000000002,23.21988,3029.02968,705.5273400000001,0.006181681681681681,0.8063993993993994,0.18782807807807808,0.5454204204204203,-0.024910037001935486,-0.10487104751810628,35001000708
1400000US35001003002,"Census Tract 30.02, Bernalillo County, New Mexico","Bernalillo County, New Mexico",1690.5555,10.445629499999999,1364.5327139999997,316.2712859999999,0.00617881489250131,0.8071504981646563,0.18708127949659145,0.5447037231253276,-0.024001816004043202,-0.100478114685832,35001003002
1400000US35001003707,"Census Tract 37.07, Bernalillo County, New Mexico","Bernalillo County, New Mexico",2463.5875,15.2196175,1989.1234900000002,460.25714000000005,0.006177827050997783,0.807409312638581,0.1868239467849224,0.5444567627494457,-0.02368886017100255,-0.0989643928524846,35001003707
1400000US35001000502,"Census Tract 5.02, Bernalillo County, New Mexico","Bernalillo County, New Mexico",3052.973,18.856297,2466.162684,569.211276,0.006176372015081693,0.8077905320485965,0.1864449099287809,0.5440930037704232,-0.023227893532531494,-0.09673476428694643,35001000502
